9808 src/debug/libpmem/memset_nt_avx.su:memset_nt_avx.c:262:1:memset_movnt_avx_clflush_wcbarrier dynamic,bounded  
9808 src/debug/libpmem/memset_nt_avx.su:memset_nt_avx.c:253:1:memset_movnt_avx_empty_wcbarrier dynamic,bounded  
9808 src/debug/libpmem/memset_nt_avx.su:memset_nt_avx.c:244:1:memset_movnt_avx_noflush_wcbarrier dynamic,bounded  
9808 src/debug/libpmem/memset_nt_avx.su:memset_nt_avx.c:233:1:memset_movnt_avx_clwb_nobarrier dynamic,bounded  
9808 src/debug/libpmem/memset_nt_avx.su:memset_nt_avx.c:224:1:memset_movnt_avx_clflushopt_nobarrier dynamic,bounded  
9808 src/debug/libpmem/memset_nt_avx.su:memset_nt_avx.c:215:1:memset_movnt_avx_clflush_nobarrier dynamic,bounded  
9808 src/debug/libpmem/memset_nt_avx.su:memset_nt_avx.c:206:1:memset_movnt_avx_empty_nobarrier dynamic,bounded  
9808 src/debug/libpmem/memset_nt_avx.su:memset_nt_avx.c:197:1:memset_movnt_avx_noflush_nobarrier dynamic,bounded  
9808 src/debug/libpmem2/memset_nt_avx.su:memset_nt_avx.c:280:1:memset_movnt_avx_clwb_wcbarrier dynamic,bounded  
9808 src/debug/libpmem2/memset_nt_avx.su:memset_nt_avx.c:271:1:memset_movnt_avx_clflushopt_wcbarrier dynamic,bounded  
9808 src/debug/libpmem2/memset_nt_avx.su:memset_nt_avx.c:262:1:memset_movnt_avx_clflush_wcbarrier dynamic,bounded  
9808 src/debug/libpmem2/memset_nt_avx.su:memset_nt_avx.c:253:1:memset_movnt_avx_empty_wcbarrier dynamic,bounded  
9808 src/debug/libpmem2/memset_nt_avx.su:memset_nt_avx.c:244:1:memset_movnt_avx_noflush_wcbarrier dynamic,bounded  
9808 src/debug/libpmem2/memset_nt_avx.su:memset_nt_avx.c:233:1:memset_movnt_avx_clwb_nobarrier dynamic,bounded  
9808 src/debug/libpmem2/memset_nt_avx.su:memset_nt_avx.c:224:1:memset_movnt_avx_clflushopt_nobarrier dynamic,bounded  
9808 src/debug/libpmem2/memset_nt_avx.su:memset_nt_avx.c:215:1:memset_movnt_avx_clflush_nobarrier dynamic,bounded  
9808 src/debug/libpmem2/memset_nt_avx.su:memset_nt_avx.c:206:1:memset_movnt_avx_empty_nobarrier dynamic,bounded  
9808 src/debug/libpmem2/memset_nt_avx.su:memset_nt_avx.c:197:1:memset_movnt_avx_noflush_nobarrier dynamic,bounded  
9200 src/debug/libpmem/memcpy_t_sse2.su:memcpy_t_sse2.c:241:1:memmove_mov_sse2_clwb dynamic,bounded  
9200 src/debug/libpmem/memcpy_t_sse2.su:memcpy_t_sse2.c:232:1:memmove_mov_sse2_clflushopt dynamic,bounded  
9200 src/debug/libpmem/memcpy_t_sse2.su:memcpy_t_sse2.c:224:1:memmove_mov_sse2_clflush dynamic,bounded  
9200 src/debug/libpmem/memcpy_t_sse2.su:memcpy_t_sse2.c:216:1:memmove_mov_sse2_empty dynamic,bounded  
9200 src/debug/libpmem/memcpy_t_sse2.su:memcpy_t_sse2.c:208:1:memmove_mov_sse2_noflush dynamic,bounded  
9200 src/debug/libpmem2/memcpy_t_sse2.su:memcpy_t_sse2.c:241:1:memmove_mov_sse2_clwb dynamic,bounded  
9200 src/debug/libpmem2/memcpy_t_sse2.su:memcpy_t_sse2.c:232:1:memmove_mov_sse2_clflushopt dynamic,bounded  
9200 src/debug/libpmem2/memcpy_t_sse2.su:memcpy_t_sse2.c:224:1:memmove_mov_sse2_clflush dynamic,bounded  
9200 src/debug/libpmem2/memcpy_t_sse2.su:memcpy_t_sse2.c:216:1:memmove_mov_sse2_empty dynamic,bounded  
9200 src/debug/libpmem2/memcpy_t_sse2.su:memcpy_t_sse2.c:208:1:memmove_mov_sse2_noflush dynamic,bounded  
8464 src/debug/libpmempool/out.su:out.c:398:1:out_error dynamic,bounded  
8464 src/debug/libpmem/out.su:out.c:398:1:out_error dynamic,bounded  
8464 src/debug/libpmemobj/out.su:out.c:398:1:out_error dynamic,bounded  
8464 src/debug/libpmem2/out.su:out.c:398:1:out_error dynamic,bounded  
8464 src/debug/core/out.su:out.c:398:1:out_error dynamic,bounded  
8448 src/debug/libpmempool/out.su:out.c:334:1:out_common dynamic,bounded  
8448 src/debug/libpmem/out.su:out.c:334:1:out_common dynamic,bounded  
8448 src/debug/libpmemobj/out.su:out.c:334:1:out_common dynamic,bounded  
8448 src/debug/libpmem2/out.su:out.c:334:1:out_common dynamic,bounded  
8448 src/debug/core/out.su:out.c:334:1:out_common dynamic,bounded  
8288 src/debug/libpmempool/pmem2_utils_linux.su:pmem2_utils_linux.c:23:1:pmem2_get_type_from_stat dynamic,bounded  
8288 src/debug/libpmem/pmem2_utils_linux.su:pmem2_utils_linux.c:23:1:pmem2_get_type_from_stat dynamic,bounded  
8288 src/debug/libpmemobj/pmem2_utils_linux.su:pmem2_utils_linux.c:23:1:pmem2_get_type_from_stat dynamic,bounded  
8288 src/debug/libpmem2/pmem2_utils_linux.su:pmem2_utils_linux.c:23:1:pmem2_get_type_from_stat dynamic,bounded  
8288 src/debug/common/pmem2_utils_linux.su:pmem2_utils_linux.c:23:1:pmem2_get_type_from_stat dynamic,bounded  
8272 src/debug/libpmempool/replica.su:replica.c:478:1:replica_check_store_size dynamic,bounded  
6768 src/debug/libpmem/memset_nt_sse2.su:memset_nt_sse2.c:267:1:memset_movnt_sse2_clwb_wcbarrier dynamic,bounded  
6768 src/debug/libpmem/memset_nt_sse2.su:memset_nt_sse2.c:258:1:memset_movnt_sse2_clflushopt_wcbarrier dynamic,bounded  
6768 src/debug/libpmem/memset_nt_sse2.su:memset_nt_sse2.c:249:1:memset_movnt_sse2_clflush_wcbarrier dynamic,bounded  
6768 src/debug/libpmem/memset_nt_sse2.su:memset_nt_sse2.c:240:1:memset_movnt_sse2_empty_wcbarrier dynamic,bounded  
6768 src/debug/libpmem/memset_nt_sse2.su:memset_nt_sse2.c:231:1:memset_movnt_sse2_noflush_wcbarrier dynamic,bounded  
6768 src/debug/libpmem/memset_nt_sse2.su:memset_nt_sse2.c:220:1:memset_movnt_sse2_clwb_nobarrier dynamic,bounded  
6768 src/debug/libpmem/memset_nt_sse2.su:memset_nt_sse2.c:211:1:memset_movnt_sse2_clflushopt_nobarrier dynamic,bounded  
6768 src/debug/libpmem/memset_nt_sse2.su:memset_nt_sse2.c:202:1:memset_movnt_sse2_clflush_nobarrier dynamic,bounded  
6768 src/debug/libpmem/memset_nt_sse2.su:memset_nt_sse2.c:193:1:memset_movnt_sse2_empty_nobarrier dynamic,bounded  
6768 src/debug/libpmem/memset_nt_sse2.su:memset_nt_sse2.c:184:1:memset_movnt_sse2_noflush_nobarrier dynamic,bounded  
6768 src/debug/libpmem2/memset_nt_sse2.su:memset_nt_sse2.c:267:1:memset_movnt_sse2_clwb_wcbarrier dynamic,bounded  
6768 src/debug/libpmem2/memset_nt_sse2.su:memset_nt_sse2.c:258:1:memset_movnt_sse2_clflushopt_wcbarrier dynamic,bounded  
6768 src/debug/libpmem2/memset_nt_sse2.su:memset_nt_sse2.c:249:1:memset_movnt_sse2_clflush_wcbarrier dynamic,bounded  
6768 src/debug/libpmem2/memset_nt_sse2.su:memset_nt_sse2.c:240:1:memset_movnt_sse2_empty_wcbarrier dynamic,bounded  
6768 src/debug/libpmem2/memset_nt_sse2.su:memset_nt_sse2.c:231:1:memset_movnt_sse2_noflush_wcbarrier dynamic,bounded  
6768 src/debug/libpmem2/memset_nt_sse2.su:memset_nt_sse2.c:220:1:memset_movnt_sse2_clwb_nobarrier dynamic,bounded  
6768 src/debug/libpmem2/memset_nt_sse2.su:memset_nt_sse2.c:211:1:memset_movnt_sse2_clflushopt_nobarrier dynamic,bounded  
6768 src/debug/libpmem2/memset_nt_sse2.su:memset_nt_sse2.c:202:1:memset_movnt_sse2_clflush_nobarrier dynamic,bounded  
6768 src/debug/libpmem2/memset_nt_sse2.su:memset_nt_sse2.c:193:1:memset_movnt_sse2_empty_nobarrier dynamic,bounded  
6768 src/debug/libpmem2/memset_nt_sse2.su:memset_nt_sse2.c:184:1:memset_movnt_sse2_noflush_nobarrier dynamic,bounded  
5936 src/debug/libpmem/memset_t_avx.su:memset_t_avx.c:173:1:memset_mov_avx_clwb dynamic,bounded  
5936 src/debug/libpmem/memset_t_avx.su:memset_t_avx.c:164:1:memset_mov_avx_clflushopt dynamic,bounded  
5936 src/debug/libpmem/memset_t_avx.su:memset_t_avx.c:156:1:memset_mov_avx_clflush dynamic,bounded  
5936 src/debug/libpmem/memset_t_avx.su:memset_t_avx.c:148:1:memset_mov_avx_empty dynamic,bounded  
5936 src/debug/libpmem/memset_t_avx.su:memset_t_avx.c:140:1:memset_mov_avx_noflush dynamic,bounded  
5936 src/debug/libpmem2/memset_t_avx.su:memset_t_avx.c:173:1:memset_mov_avx_clwb dynamic,bounded  
5936 src/debug/libpmem2/memset_t_avx.su:memset_t_avx.c:164:1:memset_mov_avx_clflushopt dynamic,bounded  
5936 src/debug/libpmem2/memset_t_avx.su:memset_t_avx.c:156:1:memset_mov_avx_clflush dynamic,bounded  
5936 src/debug/libpmem2/memset_t_avx.su:memset_t_avx.c:148:1:memset_mov_avx_empty dynamic,bounded  
5936 src/debug/libpmem2/memset_t_avx.su:memset_t_avx.c:140:1:memset_mov_avx_noflush dynamic,bounded  
4384 src/debug/libpmempool/pool.su:pool.c:149:1:pool_params_parse dynamic,bounded  
4352 src/debug/libpmempool/out.su:out.c:133:1:out_init dynamic,bounded  
4352 src/debug/libpmem/out.su:out.c:133:1:out_init dynamic,bounded  
4352 src/debug/libpmemobj/out.su:out.c:133:1:out_init dynamic,bounded  
4352 src/debug/libpmem2/out.su:out.c:133:1:out_init dynamic,bounded  
4352 src/debug/core/out.su:out.c:133:1:out_init dynamic,bounded  
4320 src/debug/libpmem/region_namespace_ndctl.su:region_namespace_ndctl.c:64:1:ndctl_match_fsdax dynamic,bounded  
4320 src/debug/libpmempool/region_namespace_ndctl.su:region_namespace_ndctl.c:64:1:ndctl_match_fsdax dynamic,bounded  
4320 src/debug/libpmemobj/region_namespace_ndctl.su:region_namespace_ndctl.c:64:1:ndctl_match_fsdax dynamic,bounded  
4320 src/debug/libpmem2/region_namespace_ndctl.su:region_namespace_ndctl.c:64:1:ndctl_match_fsdax dynamic,bounded  
4320 src/debug/common/region_namespace_ndctl.su:region_namespace_ndctl.c:64:1:ndctl_match_fsdax dynamic,bounded  
4288 src/debug/libpmem/region_namespace_ndctl.su:region_namespace_ndctl.c:26:1:ndctl_match_devdax dynamic,bounded  
4288 src/debug/libpmempool/region_namespace_ndctl.su:region_namespace_ndctl.c:26:1:ndctl_match_devdax dynamic,bounded  
4288 src/debug/libpmempool/pool.su:pool.c:73:1:pool_set_map dynamic,bounded  
4288 src/debug/libpmemobj/region_namespace_ndctl.su:region_namespace_ndctl.c:26:1:ndctl_match_devdax dynamic,bounded  
4288 src/debug/libpmem2/region_namespace_ndctl.su:region_namespace_ndctl.c:26:1:ndctl_match_devdax dynamic,bounded  
4288 src/debug/common/region_namespace_ndctl.su:region_namespace_ndctl.c:26:1:ndctl_match_devdax dynamic,bounded  
4208 src/debug/libpmempool/set.su:set.c:1786:1:util_header_check dynamic,bounded  
4208 src/debug/libpmemobj/set.su:set.c:1786:1:util_header_check dynamic,bounded  
4208 src/debug/common/set.su:set.c:1786:1:util_header_check dynamic,bounded  
4176 src/debug/libpmempool/feature.su:feature.c:94:1:features_check static  
4160 src/debug/libpmempool/deep_flush_linux.su:deep_flush_linux.c:27:1:pmem2_deep_flush_write static  
4160 src/debug/libpmempool/check_pool_hdr.su:check_pool_hdr.c:941:1:check_pool_hdr_uuids static  
4160 src/debug/libpmempool/check_pool_hdr.su:check_pool_hdr.c:901:1:check_pool_hdr static  
4160 src/debug/libpmempool/check_pool_hdr.su:check_pool_hdr.c:174:1:pool_hdr_default_fix dynamic,bounded  
4160 src/debug/libpmempool/auto_flush_linux.su:auto_flush_linux.c:84:1:check_domain_in_region static  
4160 src/debug/libpmemobj/deep_flush_linux.su:deep_flush_linux.c:27:1:pmem2_deep_flush_write static  
4160 src/debug/libpmemobj/auto_flush_linux.su:auto_flush_linux.c:84:1:check_domain_in_region static  
4160 src/debug/libpmem/deep_flush_linux.su:deep_flush_linux.c:27:1:pmem2_deep_flush_write static  
4160 src/debug/libpmem/auto_flush_linux.su:auto_flush_linux.c:84:1:check_domain_in_region static  
4160 src/debug/libpmem2/deep_flush_linux.su:deep_flush_linux.c:27:1:pmem2_deep_flush_write static  
4160 src/debug/libpmem2/auto_flush_linux.su:auto_flush_linux.c:84:1:check_domain_in_region static  
4160 src/debug/common/deep_flush_linux.su:deep_flush_linux.c:27:1:pmem2_deep_flush_write static  
4160 src/debug/common/auto_flush_linux.su:auto_flush_linux.c:84:1:check_domain_in_region static  
4144 src/debug/libpmempool/pool.su:pool.c:744:1:pool_set_type static  
4144 src/debug/libpmempool/check_pool_hdr.su:check_pool_hdr.c:117:1:pool_hdr_default_check static  
3200 src/debug/libpmem/memset_t_sse2.su:memset_t_sse2.c:148:1:memset_mov_sse2_clwb dynamic,bounded  
3200 src/debug/libpmem/memset_t_sse2.su:memset_t_sse2.c:139:1:memset_mov_sse2_clflushopt dynamic,bounded  
3200 src/debug/libpmem/memset_t_sse2.su:memset_t_sse2.c:131:1:memset_mov_sse2_clflush dynamic,bounded  
3200 src/debug/libpmem/memset_t_sse2.su:memset_t_sse2.c:123:1:memset_mov_sse2_empty dynamic,bounded  
3200 src/debug/libpmem/memset_t_sse2.su:memset_t_sse2.c:115:1:memset_mov_sse2_noflush dynamic,bounded  
3200 src/debug/libpmem2/memset_t_sse2.su:memset_t_sse2.c:148:1:memset_mov_sse2_clwb dynamic,bounded  
3200 src/debug/libpmem2/memset_t_sse2.su:memset_t_sse2.c:139:1:memset_mov_sse2_clflushopt dynamic,bounded  
3200 src/debug/libpmem2/memset_t_sse2.su:memset_t_sse2.c:131:1:memset_mov_sse2_clflush dynamic,bounded  
3200 src/debug/libpmem2/memset_t_sse2.su:memset_t_sse2.c:123:1:memset_mov_sse2_empty dynamic,bounded  
3200 src/debug/libpmem2/memset_t_sse2.su:memset_t_sse2.c:115:1:memset_mov_sse2_noflush dynamic,bounded  
2896 src/debug/libpmem/memcpy_nt_movdir64b.su:memcpy_nt_movdir64b.c:215:1:memmove_movnt_movdir64b_clwb dynamic,bounded  
